ypred_proba_test,ypred_bin_test
0.21517520403436374,0
0.08771745949750759,0
0.20712759163243435,0
0.14868539317071125,0
0.3302767326985695,0
0.39206075860011885,0
0.08623380827777845,0
0.17634207863627605,0
0.24281288266531809,0
0.34166457011348716,0
0.6053737551032236,1
0.17631660949092112,0
0.10763766898772836,0
0.2615380426042974,0
0.3833716607865371,0
0.19955517488086502,0
0.792937622312343,1
0.06473504938414322,0
0.13501894015245827,0
0.6300109588597382,1
0.1368950099948384,0
0.2760691272901663,0
0.0832737546065647,0
0.6866774575272089,1
0.10758102371635779,0
0.33661475021784354,0
0.2839378065560598,0
0.12319499581502764,0
0.6865381664543286,1
0.3852606130970221,0
0.5113189066935573,1
0.09614169929159204,0
0.4946867171745841,0
0.08310617434843577,0
0.5849405393609122,1
0.7778532542858779,1
0.07615149759046574,0
0.14030816776893806,0
0.07546001666427586,0
0.07618828694937599,0
0.7219716915140443,1
0.5659019170626567,1
0.5391144964700977,1
0.23455095354669225,0
0.3377530105396898,0
0.29449098396473733,0
0.13037943263857416,0
0.26858121462085405,0
0.6837511910432199,1
0.66172149505624,1
0.6057709251137908,1
0.09681419214773646,0
0.8380588792241224,1
0.15152741056364538,0
0.2428880677966354,0
0.16249160773211688,0
0.31850423208562595,0
0.21609910592943138,0
0.2800645264493967,0
0.08285322006519802,0
0.0845034555577053,0
0.8146152565664865,1
0.06658521277549977,0
0.5998912586025159,1
0.20328189793409016,0
0.07986771366796716,0
0.5587449034253312,1
0.15202293563304592,0
0.60811091095343,1
0.5351071791291434,1
0.24084424054221654,0
0.6066380406539718,1
0.471405829821311,0
0.26258765699281733,0
0.16280611727228755,0
0.2293024231904897,0
0.38591279494298597,0
0.7753769440834992,1
0.29119988895256066,0
0.16305744510784748,0
0.6595151371019522,1
0.19239385877125859,0
0.09842647913782672,0
0.6160143360683015,1
0.15227770800873786,0
0.26482912879899523,0
0.5447889277001545,1
0.1777234064778372,0
0.46062141289451036,0
0.38223001392496536,0
0.5222242466744788,1
0.08381760082337417,0
0.43846037915480873,0
0.10128320116360431,0
0.13595767507081857,0
0.2299922126191103,0
0.41333065734566055,0
0.1680090110233023,0
0.4544092978646465,0
0.1279588651172674,0
0.4169781741398804,0
0.19265391848674845,0
0.3209466356197062,0
0.328365916456935,0
0.06653927459333614,0
0.28460558122501695,0
0.4125627230981966,0
0.6519465503071556,1
0.20332070145006423,0
0.14664550423010808,0
0.6094205867445632,1
0.4265463494797832,0
0.8913776292698696,1
0.07423932155024182,0
0.26168762155991937,0
0.15116246326431226,0
0.3892751549674597,0
0.09047834042012656,0
0.4092119349600314,0
0.8271656475478083,1
0.4780228170024871,0
0.4820706992377575,0
0.12550131002522677,0
0.2719568966930943,0
0.07550096397450973,0
0.2471688308575569,0
0.5906080692456122,1
0.12996552672339873,0
0.1549837676974903,0
0.08956896447900446,0
0.06531296568814014,0
0.33562948148848465,0
0.6925161007315568,1
0.43554461970084374,0
0.8536052068067644,1
0.07811856940179618,0
0.48299100332526584,0
0.3302767326985695,0
0.18791466771285636,0
0.14199371011186313,0
0.08484791048583658,0
0.6152163990506699,1
0.566095483513982,1
0.12006988808022045,0
0.8577185411678332,1
0.6094961908895452,1
0.7878847094660801,1
0.74900616749232,1
0.3341152355619401,0
0.7585504492533129,1
0.40581074840368386,0
0.4457050404304539,0
0.7101841559468043,1
0.555356529831975,1
0.4095186344005392,0
0.17779854690991445,0
0.1781805071751304,0
0.4685413963160311,0
0.3814372979526772,0
0.6088360825845872,1
0.09399924659663406,0
0.12361190952324488,0
0.40075302938887297,0
0.14019274961334652,0
0.08291032942157738,0
0.6781707387939017,1
0.6502209181748485,1
0.14454400455481642,0
0.3868363530755608,0
0.47244149484922593,0
0.058540521083547965,0
0.19101603286745267,0
0.6522069482060965,1
0.5272181580562808,1
0.6191185958260796,1
0.7205345850611932,1
0.16597901833573786,0
0.9047277803218211,1
0.49070810320244823,0
0.0883490228033435,0
0.9271603045172366,1
0.060030693159738996,0
0.20622012409821333,0
0.46563690398535745,0
0.7141829386288058,1
0.688989780150645,1
0.7088109361416239,1
0.5330364554771658,1
0.5011967006119962,1
0.8868983927580315,1
0.20039493968498423,0
0.6296869201642185,1
0.25577252774482323,0
0.1418855126120177,0
0.23773791721198007,0
0.09109850167654013,0
0.186696493386269,0
0.36367816956636106,0
0.14774432344214214,0
0.5593155344559084,1
0.46588067244773973,0
0.4171609446027968,0
0.17377444934551203,0
0.28199981018247106,0
0.3923910407415147,0
0.31958683672495025,0
0.10715130647960913,0
0.3672207330416574,0
